Bot_Name,Artist,Banner,Bot_ID,Bot_Status,Build_Method,Category,Comment,Creator,Exp_after,Exp_before,Exp_gif,GUI_bot,Hotspot,Image_V3_tag,JSON,Launch_Date,Like,MyShell_URL,Myshell主站,Note,Tag,Theme,Yuki's Explore,banner_mobile,"bobo：tip ",input_guide,web_bot_name,微信/Discord/x,自动化效果测试集,进度,重新部署
Flux Pepe Meme Generator,,,1713175407,private,旧ShellAgent,文生图,,Luokeshenai,Flux_Pepe_Meme_Generator_1.png,,,,NO,text_to_image,,2024/09/30,,https://app.myshell.ai/chat/1713175407,,文字生成pepe meme,IP,Fun&Memes,,,,,,"无标题 (https://www.notion.so/1303f81ff51e80889a2eca65e48e7495?pvs=21), 洛克 (https://www.notion.so/1313f81ff51e8039ab0fdc828f4bdba3?pvs=21)",,完成,
Vibrant Anime Photo,,,1725531792,public,新ShellAgent,图生图,,Myshell-Janet,bot_list_after.jpg,bot_list_before.jpg,,,NO,all_art_animegame_ip,,2024/09/13,"Finn, Janet",https://app.myshell.ai/chat/1725531792,,类似吉卜力滤镜,"Anime, Ghibli",Photo Filters,,,,,,"无标题 (https://www.notion.so/1303f81ff51e8069861dce4625a766d0?pvs=21), 工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21)",,完成,
Movie FaceSwap,,,1726931463,public,旧ShellAgent,图生图,,kiko,bot_list.jpg,,,,YES,portrait_style_cosplay,,2024/09/23,,https://app.myshell.ai/chat/1726931463,,电影 theme 换脸,IP,AI Images,,,,YES,,"无标题 (https://www.notion.so/12f3f81ff51e80c2ab6cd6720d0cb439?pvs=21), miru+曲奇饼 (https://www.notion.so/miru-11a3f81ff51e80e2b133f26483d1c362?pvs=21)",,完成,
moodeng,,,1709020205,private,新ShellAgent,文生图,,Luokeshenai,moodeng.png,,Prompt2Pic.gif,,NO,text_to_image,,2024/09/30,,https://app.myshell.ai/chat/1709020205,,文字创作可爱河马,,Fun&Memes,,,,,,"无标题 (https://www.notion.so/1303f81ff51e80889a2eca65e48e7495?pvs=21), 洛克 (https://www.notion.so/1313f81ff51e8039ab0fdc828f4bdba3?pvs=21)",,完成,
PosterPulse,,,1726973984,public,旧ShellAgent,文生图,12/17 Lucas关键词流量选到这个题材,BinZI,,,,,NO,image_tool,,2024/09/30,,https://app.myshell.ai/chat/1726973984,,将文字变成文字配图海报,word poster,Image Tools,,,,,,"无标题 (https://www.notion.so/12f3f81ff51e8059ae4eeebc2eb54fd2?pvs=21), 彬子 (https://www.notion.so/11a3f81ff51e8009a9aff5b6bcbe79a5?pvs=21)",,"完成, 新增更新内容",
GameStyler,,,1723661242,public,新ShellAgent,图生图,,bofeng55,,,,,NO,all_art_animegame_noip,,2024/09/18,,https://app.myshell.ai/chat/1723661242,,不同游戏主题滤镜风格,"Anime, Trump",Photo Filters,,,,,,"无标题 (https://www.notion.so/1223f81ff51e81599ddad8a5148cf04e?pvs=21), 波风 (https://www.notion.so/11a3f81ff51e800e8a09e469f68cbf8b?pvs=21)",,完成,
Watercolor Anime,,,1727168566,public,新ShellAgent,图生图,,Myshell-Janet,,,,,NO,all_art_animegame_noip,,2024/09/25,,https://app.myshell.ai/chat/1727168566,,日本动画风+中国写意水彩风,Anime,Photo Filters,,,,,,"无标题 (https://www.notion.so/1303f81ff51e8069861dce4625a766d0?pvs=21), 工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21)",,完成,
MiniWorld,,,1727259986,public,旧ShellAgent,文生图,,Myshell-Tiancheng,,,,,NO,text_to_image,,2024/09/26,Finn,https://app.myshell.ai/chat/1727259986,Pro config bot- 1218,文字生成可爱微缩世界,,Fun&Memes,,,,,,"无标题 (https://www.notion.so/1303f81ff51e8069861dce4625a766d0?pvs=21), 工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21)",,完成,
Mecha Anime,,,1727247758,private,旧ShellAgent,图生图,,Myshell-Janet,,,,,NO,all_art_animegame_noip,,2024/09/25,,https://app.myshell.ai/chat/1727247758,,添加机械元素滤镜,Anime,Photo Filters,,,,,,"无标题 (https://www.notion.so/1303f81ff51e8069861dce4625a766d0?pvs=21), 工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21)",,完成,
clay you,,,1727345802,private,旧ShellAgent,图生图,,Myshell-Bobo,,,,,NO,all_art_material,,2024/09/30,,https://app.myshell.ai/chat/1727345802,,粘土滤镜,Anime,Photo Filters,,,,,,"无标题 (https://www.notion.so/1303f81ff51e8069861dce4625a766d0?pvs=21), 工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21)",,完成,
